alert_id	station_id	radius	status	timestamp_created
1001	101	200.00	active	2025-04-09 08:14:22
1002	102	400.00	triggered	2025-04-08 17:42:05
1003	103	200.00	triggered	2025-04-08 09:05:11
1004	101	200.00	active	2025-04-09 10:30:00
1005	104	800.00	triggered	2025-04-07 07:55:44
1006	110	200.00	cancelled	2025-04-07 08:02:17
1007	105	400.00	triggered	2025-04-06 18:12:33
1008	101	200.00	triggered	2025-04-06 09:01:55
1009	109	200.00	triggered	2025-04-05 17:48:22
1010	108	400.00	triggered	2025-04-05 08:25:09
